number,text
footnote 453,"All that relates to the Jewiſh proſelytes has been very ably treated by Baſnage, Hiſt. des Juifs, l. vi. c. 6, 7."
footnote 454,"See Exod. xxiv. 23. Deut. xvi. 16. the commentators, and a very ſenſible note in the Univerſal Hiſtory, vol. i. p. 603. edit. fol."
footnote 455,"When Pompey, uſing or abuſing the right of conqueſt, entered into the Holy of Holies, it was obſerved with amazement,Nullâ intus Deûm effigie, vacuam ſedem et inania arcana.Tacit. Hiſt. v. 9. It was a popular ſaying, with regard to the Jews,Nil praeter nubes et coeli numen adorant."
footnote 456,"A ſecond kind of circumciſion was inflicted on a Samaritan or Egyptian proſelyte. The ſullen indifference of the Talmudiſts, with reſpect to the converſion of ſtrangers, may be ſeen in Baſnage, Hiſtoire des Juifs, l. vi. c. 6."
footnote 457,"Theſe arguments were urged with great ingenuity by the Jew Orobio, and refuted with equal ingenuity and candour by the Chriſtian Limborch. See the Amica Collatio (it well deſerves that name), or account of the diſpute between them."
footnote 458,"Jeſus—circumciſus erat; cibis utebatur Judaicis; veſtitû ſimili; purgatos ſcabie mittebat ad ſacerdotes; Paſchata et alios dies feſtos religioſé obſervabat: Si quos ſanavit ſabatho, oſtendit non tantum ex lege, ſed et exceptis ſententiis talia opera ſabatho non interdicta. Grotius de veritate Religionis Chriſtianae, l. v. c. 7. A little afterwards (c. 12.), he expatiates on the condeſcenſion of the apoſtles."
footnote 459,"Paene omnes Chriſtum Deum ſub legis obſervatione credebant. Sulpicius Severus, ii. 31. See Euſebius, Hiſt. Eccleſiaſt. l. iv. c. 5."
footnote 460,"Moſheim de Rebus Chriſtianis ante Conſtantinum Magnum, p. 153. In this maſterly performance, which I ſhall often have occaſion to quote, he enters much more fully into the ſtate of the primitive church, than he has an opportunity of doing in his General Hiſtory."
footnote 461,"Euſebius, l. iii. c. 5. Le Clerc, Hiſt. Eccleſiaſt. p. 605. During this occaſional abſence, the biſhop and church of Pella ſtill retained the title of Jeruſalem. In the ſame manner, the Roman pontiffs reſided ſeventy years at Avignon; and the patriarchs of Alexandria have long ſince transferred their epiſcopal ſeat to Cairo."
footnote 462,"Dion Caſſius, l. lxix. The exile of the Jewiſh nation from Jeruſalem is atteſted by Ariſto of Pella (apud Euſeb. l. iv. c. 6.), and is mentioned by ſeveral eccleſiaſtical writers; though ſome of them too haſtily extend this interdiction to the whole country of Paleſtine."
footnote 463,"Euſebius, l. iv. c. 6. Sulpicius Severus, ii. 31. By comparing their unſatisfactory accounts, Moſheim (p. 327, &c.) has drawn out a very diſtinct repreſentation of the circumſtances and motives of this revolution."
footnote 464,"Le Clerc. (Hiſt. Eccleſiaſt. p. 477. 535.) ſeems to have collected from Euſebius, Jerome, Epiphanius, and other writers, all the principal circumſtances that relate to the Nazarenes or Ebionites. The nature of their opinions ſoon divided them into a ſtricter and a milder ſect; and there is ſome reaſon to conjecture, that the family of Jeſus Chriſt remained members, at leaſt, of the latter and more moderate party."
footnote 465,"Some writers have been pleaſed to create an Ebion, the imaginary author of their ſect and name. But we can more ſafely rely on the learned Euſebius than on the vehement Tertullian, or the credulous Epiphanius. According to Le Clerc, the Hebrew wordEbjonimmay be tranſlated into Latin by that ofPauperes.See Hiſt. Eccleſiaſt. p. 477."
footnote 466,"See the very curious Dialogue of Juſtin Martyr with the Jew Tryphon. The conference between them was held at Epheſus, in the reign of Antoninus Pius, and about twenty years after the return of the church of Pella to Jeruſalem. For this date conſult the accurate note of Tillemont, Memoires Eccleſiaſtiques, tom. ii. p. 511."
footnote 467,"Of all the ſyſtems of Chriſtianity, that of Abyſſinia is the only one which ſtill adheres to the Moſaic rites (Geddes's Church Hiſtory of Aethiopia, and Diſſertations de le Grand ſur la Relation du P. Lobo.). The eunuch of the queen Candace might ſuggeſt ſome ſuſpicions; but as we are aſſured (Socrates, i. 19. Sozomen, ii. 24. Ludolphus, p. 281.), that the Aethiopians were not converted till the fourth century; it is more reaſonable to believe, that they reſpected the Sabbath, and diſtinguiſhed the forbidden meats, in imitation of the Jews, who, in a very early period, were ſeated on both ſides of the Red Sea. Circumciſion had been practiſed by the moſt ancient Aethiopians, from motives of health and cleanlineſs, which ſeem to be explained in the Recherches Philoſophiques ſur les Americains, tom. ii. p. 117."
footnote 468,"Beauſobre, Hiſtoire du Manicheiſme, l. i. c. 3. has ſtated their objections, particularly thoſe of Fauſtus, the adverſary of Auguſtin, with the moſt learned impartiality."
footnote 469,"Apud ipſos fides obſtinata, miſericordia in promptû: adverſus omnes alios hoſtile odium. Tacit. Hiſt. v. 4. Surely Tacitus had ſeen the Jews with too favourable an eye. The peruſal of Joſephus muſt have deſtroyed the antitheſis."
footnote 470,"Dr. Burnet (Archaeologia, l. ii. c. 7.) has diſcuſſed the firſt chapters of Geneſis with too much wit and freedom."
footnote 471,"The milder Gnoſtics conſidered Jehovah, the Creator, as a Being of a mixed nature between God and the Daemon. Others confounded him with the evil principle. Conſult the ſecond century of the general hiſtory of Moſheim, which gives a very diſtinct, though conciſe, account of their ſtrange opinions on this ſubject."
footnote 472,"See Beauſobre, Hiſt. du Manicheiſme, l. i. c. 4. Origen and St. Auguſtin were among the Allegoriſts."
footnote 473,"Hegeſippus, ap. Euſeb. l. iii. 32. iv. 22. Clemens Alexandrin. Stromat. vii. 17."
footnote 474,"In the account of the Gnoſtics of the ſecond and third centuries, Moſheim is ingenious and candid; Le Clerc dull, but exact; Beauſobre almoſt always an apologiſt; and it is much to be feared, that the primitive fathers are very frequently calumniators."
footnote 475,"See the catalogues of Irenaeus and Epiphanius. It muſt indeed be allowed, that thoſe writers were inclined to multiply the number of ſects which oppoſed theunityof the church."
footnote 476,"Euſebius, l. iv. c. 15. Sozomen. l. ii. c. 32. See in Bayle, in the article ofMarcion,a curious detail of a diſpute on that ſubject. It ſhould ſeem that ſome of the Gnoſtics (the Baſilidians) declined, and even refuſed, the honour of martyrdom. Their reaſons were ſingular and abſtruſe. See Moſheim, p. 359."
footnote 477,"See a very remarkable paſſage of Origen (Proem. ad Lucan.). That indefatigable writer, who had conſumed his life in the ſtudy of the ſcriptures, relies for their authenticity on the inſpired authority of the church. It was impoſſible that the Gnoſtics could receive our preſent goſpels, many parts of which (particularly in the reſurrection of Chriſt) are directly, and as it might ſeem deſignedly, pointed againſt their favourite tenets. It is therefore ſomewhat ſingular that Ignatius (Epiſt. ad Smyrn. Patr. Apoſtol. tom. ii. p. 34.) ſhould chuſe to employ a vague and doubtful tradition, inſtead of quoting the certain teſtimony of the evangeliſts."
footnote 478,"Faciunt favos et veſpae; faciunt eccleſias et Marcionitae, is the ſtrong expreſſion of Tertullian, which I am obliged to quote from memory. In the time of Epiphanius (adverſ. Haereſes, p. 302.) the Marcionites were very numerous in Italy, Syria, Egypt, Arabia, and Perſia."
footnote 479,"Auguſtin is a memorable inſtance of this gradual progreſs from reaſon to faith. He was, during ſeveral years, engaged in the Manichaean ſect."
footnote 480,"The unanimous ſentiment of the primitive church is very clearly explained by Juſtin. Martyr. Apolog. Major, by Athenagoras Legat. c. 22, &c. and by Lactantius, Inſtitut. Divin. ii. 14-19."
footnote 481,Tertullian (Apolog. c. 23.) alleges the confeſſion of the Daemons themſelves as often as they were tormented by the Chriſtian exorciſts.
footnote 482,"Tertullian has written a moſt ſevere treatiſe againſt idolatry, to caution his brethren againſt the hourly danger of incurring that guilt. Recogita ſylvam, et quantae latitant ſpinae. De Coronâ Militis, c. 10."
footnote 483,"The Roman ſenate was always held in a temple or conſecrated place (Aulus Gellius, xiv. 7.). Before they entered on buſineſs, every ſenator dropt ſome wine and frankincenſe on the altar. Sueton. in Auguſt. c. 35."
footnote 484,"See Tertullian, De Spectaculis. This ſevere reformer ſhews no more indulgence to a tragedy of Euripides, than to a combat of gladiators. The dreſs of the actors particularly offends him. By the uſe of the lofty buſkin, they impiouſly ſtrive to add a cubit to their ſtature, c. 23."
footnote 485,"The ancient practice of concluding the entertainment with libations, may be found in every claſſic. Socrates and Seneca, in their laſt moments, made a noble application of this cuſtom. Poſtquam ſtagnum calidae aquae introiit, reſpergens proximos ſervorum, additâ voce, libare ſe liquorem illum Jovi Liberatori. Tacit. Annal. xv. 64."
footnote 486,"See the elegant but idolatrous hymn of Catullus, on the nuptials of Manlius and Julia. O Hymen, Hymenaee Iö! Quis huic Deo compararier auſit?"
footnote 487,"The ancient funerals (in thoſe of Miſenus and Pallas) are no leſs accurately deſcribed by Virgil, than they are illuſtrated by his commentator Servius. The pile itſelf was an altar, the flames were fed with the blood of victims, and all the aſſiſtants were ſprinkled with luſtral water."
footnote 488,"Tertullian de Idololatria, c. 11."
footnote 489,See every part of Montſaucon's Antiquities. Even the reverſes of the Greek and Roman coins were frequently of an idolatrous nature. Here indeed the ſcruples of the Chriſtian were ſuſpended by a ſtronger paſſion.
footnote 490,"Tertullian de Idololatria, c. 20, 21, 22.If a Pagan friend (on the occaſion perhaps of ſneezing) uſed the familiar expreſſion of ""Jupiter bleſs you,"" the Chriſtian was obliged to proteſt againſt the divinity of Jupiter."
footnote 491,"Conſult the moſt laboured work of Ovid, his imperfectFaſti.He finiſhed no more than the firſt ſix months of the year. The compilation of Macrobius is called theSaturnalia,but it is only a ſmall part of the firſt book that beare any relation to the title."
footnote 492,"Tertullian has compoſed a defence, or rather panegyric, of the raſh action of a Chriſtian ſoldier, who, by throwing away his crown of laurel, had expoſed himſelf and his brethren to the moſt imminent danger. By the mention of theemperors(Severus and Caracalla) it is evident, notwithſtanding the wiſhes of M. de Tillemont, that Tertullian compoſed his treatiſe De Coronâ, long before he was engaged in the errors of the Montaniſts. See Memoires Eccleſiaſtiques, tom. iii. p. 384."
footnote 493,"In particular, the firſt book of the Tuſculan Queſtions, and the treatiſe De Senectute, and the Somnium Scipionis, contain, in the moſt beautiful language, every thing that Grecian philoſophy, or Roman good ſenſe, could poſſibly ſuggeſt on this dark but important object."
footnote 494,"The pre-exiſtence of human ſouls, ſo far at leaſt as that doctrine is compatible with religion, was adopted by many of the Greek and Latin fathers. See Beauſobre, Hiſt. du Manicheiſme, l. vi. c. 4."
footnote 495,"See Cicero pro Cluent. c. 61. Caeſar ap. Salluſt. de Bell. Catilin. c. 50. Juvenal. Satir. ii. 149.Eſſe aliquos manes, et ſubterranea regna,—Nec pueri credunt, niſi qui nondum aere lavantur."
footnote 496,"The xith book of the Odyſſey gives a very dreary and incoherent account of the infernal ſhades. Pindar and Virgil have embelliſhed the picture; but even thoſe poets, though more correct than their great model, are guilty of very ſtrange inconſiſtencies. See Bayle, Reſponſes aux Queſtions d'un Provincial, part iii. c. 22."
footnote 497,"See the xvith epiſtle of the firſt book of Horace, the xiiith Satire of Juvenal, and the iid Satire of Perſius: theſe popular diſcourſes expreſs the ſentiment and language of the multitude."
footnote 498,"If we confine ourſelves to the Gauls, we may obſerve, that they intruſted, not only their lives, but even their money, to the ſecurity of another world. Vetus ille mos Gallorum occurrit (ſays Valerius Maximus, l. ii. c. 6. p. 10.), quos memoria proditur eſt, pecunias mutuas, quae his apud inferos redderentur, dare ſolitos. The ſame cuſtom is more darkly inſinuated by Mela, l. iii. c. 2. It is almoſt needleſs to add, that the profits of trade hold a juſt proportion to the credit of the merchant, and that the Druids derived from their holy profeſſion a character of reſponſibility, which could ſcarcely be claimed by any other order of men."
footnote 499,"The right reverend author of the Divine Legation of Moſes aſſigns a very curious reaſon for the omiſſion, and moſt ingeniouſly retorts it on the unbelievers."
footnote 500,"See Le Clere (Prolegomena ad Hiſt. Eccleſiaſt. ſect. 1. c. 8.). His authority ſeems to carry the greater weight, as he has written a learned and judicious commentary on the books of the Old Teſtament."
footnote 501,"Joſeph. Antiquitat. l. xiii. c. 10. De Bell. Jud. ii. 8. According to the moſt natural interpretation of his words, the Sadducees admitted only the Pentateuch; but it has pleaſed ſome modern critics to add the prophets to their creed, and to ſuppoſe, that they contented themſelves with rejecting the traditions of the Phariſees. Dr. Jortin has argued that point in his Remarks on Eccleſiaſtical Hiſtory, vol. ii. p. 103."
footnote 502,"This expectation was countenanced by the twenty-fourth chapter of St. Matthew, and by the firſt epiſtle of St. Paul to the Theſſalonians. Eraſmus removes the difficulty by the help of allegory and metaphor; and the learned Grotius ventures to inſinuate, that, for wiſe purpoſes, the pious deception was permitted to take place."
footnote 503,"See Burnet's Sacred Theory, part iii. c. 5. This tradition may be traced as high as the author of the Epiſtle of Barnabas, who wrote in the firſt century, and who ſeems to have been half a Jew."
footnote 504,"The primitive church of Antioch computed almoſt 6000 years from the creation of the world to the birth of Chriſt. Africanus, Lactantius, and the Greek church, have reduced that number to 5500, and Euſebius has contented himſelf with 5200 years. Theſe calculations were formed on the Septuagint, which was univerſally received during the ſix firſt centuries. The authority of the Vulgate and of the Hebrew text has determined the moderns, Proteſtants as well as Catholics, to prefer a period of about 4000 years; though, in the ſtudy of profane antiquity, they often find themſelves ſtreightened by thoſe narrow limits."
footnote 505,"Moſt of theſe pictures were borrowed from a miſinterpretation of Iſaiah, Daniel, and the Apocalypſe. One of the groſſeſt images may be found in Irenaeus (l. v. p. 455.), the diſciple of Papias, who had ſeen the apoſtle St. John."
footnote 506,"See the ſecond dialogue of Juſtin with Tryphon, and the ſeventh book of Lactantius. It is unneceſſary to allege all the intermediate fathers, as the fact is not diſputed. Yet the curious reader may conſult Daillè de Uſu Patrum, l. ii. c. 4."
footnote 507,"The teſtimony of Juſtin, of his own faith and that of his orthodox brethren, in the doctrine of a Millennium, is delivered in the cleareſt and moſt ſolemn manner (Dialog. cum Tryphonte Jud. p. 177, 178. Edit. Benedictin.). If in the beginning of this important paſſage there is any thing like an inconſiſtency, we may impute it, as we think proper, either to the author or to his tranſcribers."
footnote 508,"Dupin, Bibliothéque Eccleſiaſtique, tom. i. p. 223. tom. ii. p. 366. and Moſheim, p. 720; though the latter of theſe learned divines is not altogether candid on this occaſion."
footnote 509,"In the council of Laodicea (about the year 360) the Apocalypſe was tacitly excluded from the ſacred canon, by the ſame churches of Aſia to which it is addreſſed; and we may learn from the complaint of Sulpicius Severus, that their ſentence had been ratified by the greater number of Chriſtians of his time. From what cauſes then is the Apocalypſe at preſent ſo generally received by the Greek, the Roman, and the Proteſtant churches? The following ones may be aſſigned. 1. The Greeks were ſubdued by the authority of an impoſtor, who, in the ſixth century, aſſumed the character of Dionyſius the Areopagite. 2. A juſt apprehenſion, that the grammarians might become more important than the theologians, engaged the council of Trent to fix the ſeal of their infallibility on all the books of Scripture, contained in the Latin Vulgate, in the number of which the Apocalypſe was fortunately included. (Fra Paolo, Iſtoria del Concilio Tridentino, l. ii.) 3. The advantage of turning thoſe myſterious prophecies againſt the See of Rome, inſpired the proteſtants with uncommon veneration for ſo uſeful an ally. See the ingenious and elegant diſcourſes of the preſent biſhop of Litchfield on that unpromiſing ſubject."
footnote 510,"Lactantius (Inſtitut. Divin. vii. 15, &c.) relates the diſmal tale of futurity with great ſpirit and eloquence."
footnote 511,"On this ſubject every reader of taſte will be entertained with the third part of Burnet's Sacred Theory. He blends philoſophy, ſcripture, and tradition, into one magnificent ſyſtem; in the deſcription of which, he diſplays a ſtrength of fancy not inferior to that of Milton himſelf."
footnote 512,"And yet whatever may be the language of individuals, it is ſtill the public doctrine of all the Chriſtian churches; nor can even our own refuſe to admit the concluſions which muſt be drawn from the viiith and the xviiith of her Articles. The Janſeniſts, who have ſo diligently ſtudied the works of the fathers, maintain this ſentiment with diſtinguiſhed zeal, and the learned M. de Tillemont never diſmiſſes a virtuous emperor without pronouncing his damnation. Zuinglius is perhaps the only leader of a party who has ever adopted the milder ſentiment, and he gave no leſs offence to the Lutherans than to the Catholics. See Boſſuet, Hiſtoire des Variations des Egliſes Proteſtantes, l. ii. c. 19—22."
footnote 513,"Juſtin and Clemens of Alexandria allow that ſome of the philoſophers were inſtructed by the Logos; confounding its double ſignification, of the human reaſon, and of the Divine Word."
footnote 514,"Tertullian, De Spectaculis, c. 30. In order to aſcertain the degree of authority which the zealous African had acquired, it may be ſufficient to allege the teſtimony of Cyprian, the doctor and guide of all the weſtern churches. (See Prudent. Hymn. xiii. 100.) As often as he applied himſelf to his daily ſtudy of the writings of Tertullian, he was accuſtomed to ſay, ""Da mihi magiſtrum;Give me my maſter."" (Hieronym. de Viris Illuſtribus, tom. i. p. 284.)"
footnote 515,"Notwithſtanding the evaſions of Dr. Middleton, it is impoſſible to overlook the clear traces of viſions and inſpiration, which may be found in the apoſtolic fathers."
footnote 516,"Irenaeus adv. Haereſ. Proem. p. 3. Dr. Middleton (Free Inquiry, p. 96, &c.) obſerves, that as this pretenſion of all others was the moſt difficult to ſupport by art, it was the ſooneſt given up. The obſervation ſuits his hypotheſis."
footnote 517,"Athenagoras in Legatione. Juſtin Martyr, Cohort. ad Gentes. Tertullian adverſ. Marcionit. l. iv. Theſe deſcriptions are not very unlike the prophetic fury, for which Cicero (de Divinat. ii. 54.) expreſſes ſo little reverence."
footnote 518,"Tertullian (Apolog. c. 23.) throws out a bold defiance to the Pagan magiſtrates. Of the primitive miracles, the power of exorciſing, is the only one which has been aſſumed by Proteſtants."
footnote 519,"Irenaeus adv. Haereſes, l. ii. 56, 57. l. v. c. 6. Mr. Dodwell (Diſſert. ad Irenaeum, ii. 42.) concludes, that the ſecond century was ſtill more fertile in miracles than the firſt."
footnote 520,"Theophilus ad Autolycum, l. i. p. 345. Edit. Benedictin. Paris, 1742."
footnote 521,"Dr. Middleton ſent out his Introduction in the year 1747, publiſhed his Free Inquiry in 1749, and before his death, which happened in 1750, he had prepared a vindication of it againſt his numerous adverſaries."
footnote 522,"The univerſity of Oxford conferred degrees on his opponents. From the indignation of Moſheim (p. 221.), we may diſcover the ſentiments of the Lutheran divines."
footnote 523,"It may ſeem ſomewhat remarkable, that Bernard of Clairvaux, who records ſo many miracles of his friend St. Malachi, never takes any notice of his own, which, in their turn, however, are carefully related by his companions and diſciples. In the long ſeries of eccleſiaſtical hiſtory, does there exiſt a ſingle inſtance of a ſaint aſſerting that he himſelf poſſeſſed the gift of miracles?"
footnote 524,"The converſion of Conſtantine is the aera which is moſt uſually fixed by proteſtants. The more rational divines are unwilling to admit the miracles of the ivth, whilſt the more credulous are unwilling to reject thoſe of the vth century."
footnote 525,"The imputations of Celſus and Julian, with the defence of the fathers, are very fairly ſtated by Spanheim, Commentaire ſur les Ceſars de Julian, p. 468."
footnote 526,Plin. Epiſt. x. 97.
footnote 527,"Tertullian, Apolog. c. 44. He adds, however, with ſome degree of heſitation, ""Aut ſi aliud, jam non Chriſtianus."""
footnote 528,"The philoſopher Peregrinus (of whoſe life and death Lucian has left us ſo entertaining an account) impoſed, for a long time, on the credulous ſimplicity of the Chriſtians of Aſia."
footnote 529,See a very judicious treatiſe of Barbeyrac ſur la Morale des Peres.
footnote 530,"Lactant. Inſtitut. Divin. l. vi. c. 20, 21, 22."
footnote 531,"Conſult a work of Clemens of Alexandria, intitled the Paedagogue, which contains the rudiments of ethics, as they were taught in the moſt celebrated of the Chriſtian ſchools."
footnote 532,"Tertullian, de Spectaculis, c. 23. Clemens Alexandrin. Paedagog. l. iii. c. 8."
footnote 533,"Beauſobre, Hiſt. Critique du Manicheiſine, l. vii. c. 3. Juſtin, Gregory of Nyſſa, Auguſtin, &c. ſtrongly inclined to this opinion."
footnote 534,Some of the Gnoſtic heretics were more conſiſtent; they rejected the uſe of marriage.
footnote 535,"See a chain of tradition, from Juſtin Martyr to Jerome, in the Morale des Peres; c. iv. 6—26."
footnote 536,"See a very curious Diſſertation on the Veſtals, in the Memoires de l'Academie des Inſcriptions, tom. iv. p. 161—227. Notwithſtanding the honours and rewards which were beſtowed on thoſe virgins, it was difficult to procure a ſufficient number; nor could the dread of the moſt horrible death always reſtrain their incontinence."
footnote 537,"Cupiditatem procreandi aut unam ſcimus aut nullam. Minucius Faelix, c. 31. Juſtin. Apolog. Major. Athenagoras in Legat. c. 28. Tertullian de Cultu Foemin. l. ii."
footnote 538,"Euſebius, l. vi. 8. Before the fame of Origen had excited envy and perſecution, this extraordinary action was rather admired than cenſured. As it was his general practice to allegorize ſcripture; it ſeems unfortunate that, in this inſtance only, he ſhould have adopted the literal ſenſe."
footnote 539,Cyprian. Epiſt. 4. and Dodwell Diſſertat. Cyprianic. iii. Something like this raſh attempt was long afterwards imputed to the founder of the order of Fontevrault. Bayle has amuſed himſelf and his readers on that very delicate ſubject.
footnote 540,"Dupin (Bibliothéque Eccleſiaſtique, tom. i. p. 195.) gives a particular account of the dialogue of the ten virgins, as it was compoſed by Methodius, biſhop of Tyre. The praiſes of virginity are exceſſive."
footnote 541,"The Aſcetics (as early as the ſecond century) made a public profeſſion of mortifying their bodies, and of abſtaining from the uſe of fleſh and wine. Moſheim, p. 310."
footnote 542,"See the Morale des Peres. The ſame patient principles have been revived ſince the Reformation by the Socinians, the modern Anabaptiſts, and the Quakers. Barclay, the apologiſt of the Quakers, has protected his brethren, by the authority of the primitive Chriſtians, p. 542—549."
footnote 543,"Tertullian, Apolog. c. 21. De Idololatriâ, c. 17, 18. Origen contra Celſum, l. v. p. 253. l. vii. p. 348. l. viii. p. 423—428."
footnote 544,"Tertullian (de Corona Militis, c. 11.) ſuggeſts to them the expedient of deſerting; a counſel, which, if it had been generally known, was not very proper to conciliate the favour of the emperors towards the Chriſtian ſect."
footnote 545,"As well as we can judge from the mutilated repreſentation of Origen (l. viii. p. 423.), his adverſary, Celſus, had urged his objection with great force and candour."
footnote 546,"The Ariſtocratical party in France, as well as in England, has ſtrenuouſly maintained the divine origin of biſhops. But the Calviniſtical preſbyters were impatient of a ſuperior; and the Roman Pontiff refuſed to acknowledge an equal. See Fra Paolo."
footnote 547,"In the hiſtory of the Chriſtian hierarchy, I have, for the moſt part, followed the learned and candid Moſheim."
footnote 548,"For the prophets of the primitive church, ſee Moſheim, Diſſertationes ad Hiſt. Eccleſ. pertinentes, tom. ii. p. 132—208."
footnote 549,"See the epiſtles of St. Paul, and of Clemens, to the Corinthians."
footnote 550,"Hooker's Eccleſiaſtical Polity, l. vii."
footnote 551,"See Jerome ad Titum, c. 1. and Epiſtol. 85. (in the Benedictine edition, 101.) and the elaborate apology of Blondel, proſententia Hieronymi. The ancient ſtate, as it is deſcribed by Jerome, of the biſhop and preſbyters of Alexandria, receives a remarkable confirmation from the patriarch Eutichius (Annal. tom. i. p. 330. Verſ. Pocock); whoſe teſtimony I know not how to reject, in ſpite of all the objections of the learned Pearſon in his Vindiciae Ignatianae, part i. c. 11."
footnote 552,"See the introduction to the Apocalypſe. Biſhops, under the name of angels, were already inſtituted in ſeven cities of Aſia. And yet the epiſtle of Clemens (which is probably of as ancient a date) does not lead us to diſcover any traces of epiſcopacy either at Corinth or Rome."
footnote 553,"Nulla Eccleſia ſine Epiſcopo, has been a fact as well as a maxim ſince the time of Tertullian and Irenaeus."
footnote 554,"After we have paſſed the difficulties of the firſt century, we find the epiſcopal government univerſally eſtabliſhed, till it was interrupted by the republican genius of the Swiſs and German reformers."
footnote 555,"See Moſheim in the firſt and ſecond centuries. Ignatius (ad Smyrnaeos, c. 3, &c.) is fond of exalting the epiſcopal dignity. Le Clerc (Hiſt. Eccleſ. p. 569.) very bluntly cenſures his conduct. Moſheim, with a more critical judgment (p. 161.), ſuſpects the purity even of the ſmaller epiſtles."
footnote 556,"Nonne et Laici ſacerdotes ſumus? Tertullian, Exhort. ad Caſtitat. c. 7. As the human heart is ſtill the ſame, ſeveral of the obſervations which Mr. Hume has made on Enthuſiaſm (Eſſays, vol. i. p. 76, quarto edit.), may be applied even to real inſpiration."
footnote 557,"Acta Concil. Carthag. apud Cyprian. Edit. Fell, p. 158. This council was compoſed of eighty-ſeven biſhops from the provinces of Mauritania, Numidia, and Africa; ſome preſbyters and deacons aſſiſted at the aſſembly; praeſente plebis maximâ parte."
footnote 558,"Aguntur praeterea per Graecias illas, certis in locis concilia, &c. Tertullian de Jejuniis, c. 13. The African mentions it as a recent and foreign inſtitution. The coalition of the Chriſtian churches is very ably explained by Moſheim, p. 164—170."
footnote 559,"Cyprian, in his admired treatiſe De Unitate Eccleſiae, p. 75—86."
footnote 560,"We may appeal to the whole tenor of Cyprian's conduct, of his doctrine, and of his Epiſtles. Le Clerc, in a ſhort life of Cyprian (Bibliothéque Univerſelle, tom. xii. p. 207—378.), has laid him open with great freedom and accuracy."
footnote 561,"If Novatus, Feliciſſimus, &c. whom the biſhop of Carthage expelled from his church, and from Africa, were not the moſt deteſtable monſters of wickedneſs, the zeal of Cyprian muſt occaſionally have prevailed over his veracity. For a very juſt account of theſe obſcure quarrels, ſee Moſheim, p. 497—512."
footnote 562,"Moſheim, p. 269. 574. Dupin, Antiquae Eccleſ. Diſciplin. p. 19, 20."
footnote 563,"Tertullian, in a diſtinct treatiſe, has pleaded againſt the heretics, the right of preſcription, as it was held by the apoſtolic churches."
footnote 564,"The journey of St. Peter to Rome is mentioned by moſt of the ancients (ſee Euſebius, ii. 25.), maintained by all the catholics, allowed by ſome proteſtants (ſee Pearſon and Dodwell de Succeſſ. Epiſcop. Roman.), but has been vigorouſly attacked by Spanheim (Miſcellanea Sacra, iii. 3.). According to father Hardouin, the monks of the thirteenth century, who compoſed the Aeneid, repreſented St. Peter under the allegorical character of the Trojan hero."
footnote 565,"It is in French only, that the famous alluſion to St. Peter's name is exact. Tu esPierreet ſur cettepierre.—The ſame is imperfect in Greek, Latin, Italian, &c. and totally unintelligible in our Teutonic languages."
footnote 566,"Irenaeus adv. Haereſes, iii. 3. Tertullian de Praeſcription. c. 36, and Cyprian Epiſtol. 27. 55. 71. 75. Le Clerc (Hiſt. Eccleſ. p. 764.) and Moſheim (p. 258. 578.) labour in the interpretation of theſe paſſages. But the looſe and rhetorical ſtyle of the fathers often appears favourable to the pretenſions of Rome."
footnote 567,"See the ſharp epiſtle from Firmilianus biſhop of Caeſarea, to Stephen biſhop of Rome, ap. Cyprian. Epiſtol. 75."
footnote 568,"Concerning this diſpute of the re-baptiſm of heretics; ſee the epiſtles of Cyprian, and the ſeventh book of Euſebius."
footnote 569,"For the origin of theſe words, ſee Moſheim, p. 141. Spanheim, Hiſt. Eccleſiaſt. p. 633. The diſtinction ofClerusandLaicuswas eſtabliſhed before the time of Tertullian."
footnote 570,"The community inſtituted by Plato, is more perfect than that which Sir Thomas More had imagined for his Utopia. The community of women, and that of temporal goods, may be conſidered as inſeparable parts of the ſame ſyſtem."
footnote 571,"Joſeph. Antiquitat. xviii. 2. Philo, de Vit. Contemplativ."
footnote 572,"See the Acts of the Apoſtles, c. 2. 4, 5. with Grotius's Commentary. Moſheim, in a particular diſſertation, attacks the common opinion with very inconcluſive arguments."
footnote 573,"Juſtin Martyr, Apolog. Major, c. 89. Tertullian, Apolog. c. 39."
footnote 574,"Irenaeus ad Haereſ. l. iv. c. 27. 34. Origen in Num. Hom. ii. Cyprian de Unitat. Eccleſ. Conſtitut. Apoſtol. l. ii. c. 34, 35. with the notes of Cotelerius. The Conſtitutions introduce this divine precept, by declaring that prieſts are as much above kings, as the ſoul is above the body. Among the tythable articles, they enumerate corn, wine, oil, and wool. On this intereſting ſubject, conſult Prideaux's Hiſtory of Tythes, and Fra-Paolo delle Materic Beneficiarie; two writers of a very different character."
footnote 575,"The ſame opinion which prevailed about the year one thouſand, was productive of the ſame effects. Moſt of the Donations expreſs their motive, ""appropinquante mundi fine."" See Moſheim's General Hiſtory of the Church, vol. i. p. 457."
